ARTICULO;PROVEEDOR;DESCRIPCION;AÑASCO;MDP;ROS;COR;NEU
LLB2825;LUCAS LAMPARAS;LAMPARA W5W 12V 5W W2.1×9.5d;-200;0;0;0;0
LLB7507;LUCAS LAMPARAS;LAMPARA PY21W 12V 21W BAU15s;-80;0;0;0;0
5PK1750-4;GATES;K050689 / K050690 / 5PK1750 Renault 1.6 16v (K4M);-31;0;-1;0;-1
358107052;HELLA ;LAMPARA MINIATURA 12V W5W CASQ.W2,1X9,5D(2825);-30;0;0;0;-70
530046210;INA FAG;KIT DIST Fiat Doblo-Palio-Punto-Siena 1.4 8v Fire Evo (129x22xs);-19;0;0;0;0
BL1358;DEI CAS;BIELETA DEL FORD ECOSPORT 2012> /FIESTA 2011> IV/FIESTA KINETIC;-18;0;2;0;18
6PK1200-4SF(SH);GATES;CORREA ELASTICA 6PK1200SF Vw Fox/Suran/Gol Trend (Sin Herramienta);-15;0;0;0;-2
858083211;HELLA ;ESCOBILLA LIMPIARABRISAS 21´ STANDARD SINGLE (STANDARD METALICA);-13;0;0;0;0
LLB64193LL;LUCAS LAMPARAS;LAMPARA H4 12V 60/55W P43t;-11;0;0;0;-2
7PK1075-9;GATES;7PK1078;-10;0;0;0;-1
7PK1685-9;GATES;7PK1685 MB VITO;-10;0;0;0;-1
I-VCK2242H;HIDRAULICA IMP.;SC5104 CRAPODINA DE EMBRAGUE C/GUIA VW FOX/SURAN;-10;0;0;0;0
9PK2335-9;GATES;CORREA 9PK2338ES;-10;0;0;0;10
3PK795-9 SF(SH);GATES;CORREA ELASTICA 3PK0796SF Vw Fox/Suran/Gol Trend (Sin Herramienta);-9;0;0;0;0
6PK1545-9;GATES;K060609 / 6PK1548/ K060610;-9;0;0;0;0
FI-756;FISPA;BULBO DE TEMPERATURA DE ELECTROVENTILADOR ;-9;0;0;0;0
AP7592;AUTOPARTES PAULUCCI;CLIP TRABA CILINDRO A PEDALERA VW CORSA II / MERIVA;-9;0;2;0;1
500027510;LUK;CRAPODINA RENAULT R18-R21-TRAFIC 2.1D;-8;0;0;0;0
2X13X1450-4;GATES;2/9571;-8;0;0;0;0
8PK1650-4 HD;GATES;K080650 / 8PK1652 HEAVY DUTY;-8;0;0;0;0
99134X25.4XS;GATES;CO DIST 99134X1XS/5581XS citroen/peugeot TU5JP4;-8;0;0;0;0
RPTA00190;TRW;CAM FRE TRA CHEV CORSA-TIGRA (HF24/BD1241);-8;0;0;0;0
6DPK1195-9;GATES;6DPK1195;-8;0;2;0;0
6PK2210-4;GATES;K060870 / 6PK2213 MERCEDES BENZ Sprinter 415/515;-8;0;0;0;1
RF003;VMG;LIQUIDO REFRIGERANTE ORGANICO ROJO X1L;-8;0;-4;0;37
6PK2565-9;GATES;K061010 AMAROK V6;-7;0;-2;0;0
530019510;INA FAG;KIT DIST Renault Clio II-Clio III-Twingo 1.2 16v (95x23.4xs);-6;0;-1;0;0
628358509;LUK;CONJUNTO EMBRAGUE PD Toyota Hilux 2.8Tdi 1GD-FTD / 2.4 2GD-FTD 275X21;-6;0;0;0;0
13X1225-9;GATES;6479;-6;0;0;0;0
AP5564;AUTOPARTES PAULUCCI;CIL MAESTRO EMB MB SPRINTER '94 EN ADELANTE;-6;0;0;0;0
RCDI00800;TRW;DIS FRE DEL FIAT 500-PUNTO-TEMPRA-LÍNEA/ ALFA ROMEO MITO (HF32/BD1650);-6;0;0;0;0
SF138-8;FRENO SILENT;BBA EMBR Mercedes Benz L/LK 1214 -> 2425 OH 1419/1420 O/OF/OH 371;-6;0;0;0;0
530069710;INA FAG;KIT DIST VV Gol Trend-Saveiro-Crossfox-Suran-Fox 1.4/1.6 8V S/ACC.;-6;1;0;0;0
BA446;VMG;BBA DE AGUA CITROEN SAXO // C3 // SXARA /;-6;0;1;0;1
PKC-002;PILBOX;KIT DISTRIB A CADENA FORD ECOSPORT/KA/FIESTA 1.6 ZETEC ROCAM;-6;0;0;0;3
45136X25;GATES;CO DIST 45136x25/5193;-5;0;0;0;-1
510015810;LUK;ACTUADOR HIDRAULICO VOLKSWAGEN AMAROK;-5;0;-3;0;0
LUK1010;LUK;LUK;-5;0;-1;0;0
619301500;LUK;KIT EMBRAGUE PDR FIAT PALIO IDEA PUNTO STRADA 1.3L 1.4L 16V M FIRE;-5;0;0;0;0
2X13X1595-9;GATES;2/9628;-5;0;0;0;0
2X13X1610-4;GATES;CORREA DOBLE 2/9632;-5;0;0;0;0
4PK1380-4;GATES;K040545 / 4PK1380 / 4PK1384;-5;0;0;0;0
4PK910-4;GATES;K040358 / 4PK913;-5;0;0;0;0
5PK1725-9;GATES;K050680 / K050679;-5;0;0;0;0
6PK1830-4;GATES;K060721 / 6PK1830XS;-5;0;0;0;0
6PK2240-4;GATES;K060882 / 6PK2243 FORD Fiesta/Focus/Ka 1.6 Rocam;-5;0;0;0;0
RCLF00420;TRW;LIQUIDO DE FRENOS DOT 5 500ML VARGA;-5;0;0;0;0
530037910;INA FAG;KIT DIST Citoren/Peugeot C3-C4-206-307-Partner 1.6 16v (134x25.4xs);-5;0;0;0;3
